x,y,cls,conf
28160,8192,0,0.18609506
28672,8192,0,0.2892964
29184,8192,0,0.30850264
29696,8192,0,0.12069768
30208,8192,0,0.2027982
30720,8192,0,0.23731071
31232,8192,0,0.23383754
31744,8192,0,0.24985884
32256,8192,0,0.33155248
32768,8192,0,0.22354652
33280,8192,0,0.27187955
33792,8192,0,0.2344943
34304,8192,0,0.22286923
35328,8192,0,0.2594971
35840,8192,0,0.23074639
36352,8192,0,0.252338
36864,8192,0,0.15495056
37376,8192,0,0.19246346
37888,8192,0,0.14773953
38400,8192,0,0.1067837
38912,8192,0,0.23855022
39424,8192,0,0.28081354
39936,8192,0,0.32215267
40448,8192,0,0.19463554
40960,8192,0,0.24522054
41472,8192,0,0.19147882
41984,8192,0,0.21592887
42496,8192,0,0.26635727
43008,8192,0,0.4048971
43520,8192,0,0.3803417
44032,8192,0,0.32260603
44544,8192,0,0.300951
45056,8192,1,0.5078042
45568,8192,0,0.41409898
46080,8192,0,0.24621603
46592,8192,0,0.4055076
47104,8192,0,0.45872754
47616,8192,0,0.36364692
48128,8192,0,0.3278297
48640,8192,0,0.41261894
49152,8192,0,0.31027627
49664,8192,0,0.2637416
50176,8192,0,0.24621603
50688,8192,0,0.35075492
51200,8192,0,0.1968648
51712,8192,0,0.26626188
52224,8192,0,0.17455095
52736,8192,0,0.20189188
53248,8192,0,0.20108666
53760,8192,0,0.14499424
54272,8192,0,0.20122397
54784,8192,0,0.15316877
55296,8192,0,0.1742697
55808,8192,0,0.29168653
56320,8192,0,0.20753574
56832,8192,0,0.23766439
57344,8192,0,0.27997613
57856,8192,0,0.3176379
58368,8192,0,0.33969072
58880,8192,0,0.3338832
59392,8192,0,0.20922722
59904,8192,0,0.27899283
60416,8192,0,0.25874716
60928,8192,0,0.25335267
61440,8192,0,0.23642808
61952,8192,0,0.10687689
62464,8192,0,0.22867283
62976,8192,0,0.27149308
63488,8192,0,0.13313322
64000,8192,0,0.19291921
4608,8704,0,0.11818141
5120,8704,0,0.21679813
5632,8704,0,0.24531093
6144,8704,0,0.25082102
6656,8704,0,0.3123307
7168,8704,0,0.21900325
7680,8704,0,0.2594971
8192,8704,0,0.26497605
8704,8704,0,0.25739157
9216,8704,0,0.26511872
10240,8704,0,0.14780103
11264,8704,0,0.2362518
11776,8704,0,0.32815254
12288,8704,0,0.15771976
12800,8704,0,0.2149797
13312,8704,0,0.24735057
13824,8704,0,0.20394525
14336,8704,0,0.2403286
14848,8704,0,0.32324073
15360,8704,0,0.24860258
15872,8704,0,0.2654042
16384,8704,0,0.2814303
16896,8704,0,0.24944724
17408,8704,0,0.2026009
17920,8704,0,0.17592709
18432,8704,0,0.24481408
18944,8704,0,0.21671523
19456,8704,0,0.15052763
19968,8704,0,0.18046747
22016,8704,0,0.1732882
22528,8704,0,0.35281473
23040,8704,0,0.24603483
23552,8704,0,0.22944888
24064,8704,0,0.17809659
24576,8704,0,0.2216454
25088,8704,0,0.3172327
25600,8704,0,0.2211824
26112,8704,0,0.19269122
26624,8704,0,0.2426989
27136,8704,0,0.2598726
28160,8704,0,0.22219339
28672,8704,0,0.16178322
29184,8704,0,0.18359363
29696,8704,0,0.23563562
30208,8704,0,0.2235889
30720,8704,0,0.2374875
31232,8704,0,0.2670496
31744,8704,0,0.27325913
32256,8704,0,0.1727991
32768,8704,0,0.19102567
33280,8704,0,0.20016651
33792,8704,0,0.24576321
34816,8704,0,0.28886992
35328,8704,0,0.20473911
35840,8704,0,0.28032076
36352,8704,0,0.31658053
36864,8704,0,0.33317772
37376,8704,0,0.1777395
37888,8704,0,0.17688479
38400,8704,0,0.08122775
38912,8704,0,0.14426938
39424,8704,0,0.29502678
39936,8704,0,0.31864414
40448,8704,0,0.2770327
40960,8704,0,0.32552058
41472,8704,0,0.2571117
41984,8704,0,0.21535073
42496,8704,0,0.32171303
43008,8704,0,0.27488634
43520,8704,0,0.2705766
44032,8704,0,0.30208218
44544,8704,0,0.2907291
45056,8704,0,0.4800978
45568,8704,0,0.3731046
46080,8704,0,0.39245325
46592,8704,0,0.40786397
47104,8704,0,0.3562227
47616,8704,0,0.3506437
48128,8704,0,0.26975822
48640,8704,0,0.378775
49152,8704,0,0.44117638
49664,8704,0,0.2978783
50176,8704,0,0.3913187
50688,8704,0,0.23992765
51200,8704,0,0.26029545
51712,8704,0,0.20946969
52224,8704,0,0.16204825
52736,8704,0,0.19513355
53248,8704,0,0.31119132
53760,8704,0,0.17043896
54272,8704,0,0.16324525
54784,8704,0,0.17036992
55296,8704,0,0.20169526
55808,8704,0,0.25017932
56320,8704,0,0.19841342
56832,8704,0,0.20291662
57344,8704,0,0.2623691
57856,8704,0,0.34169233
58368,8704,0,0.3462649
58880,8704,0,0.18046747
